Fitness Trackers
Fitbit Charge,Jawbone UP4,Fitbit Flex,Garmin Vivosmart,Striiv Fusion,Withings Pulse 02,Garmin Vivofit 2,Polar Loop 2,Withings Activite Pop,Basis Peak
8.95,8.63,8.43,8.35,8.25,8.05,8.03,7.98,7.80,6.80
93,90,91,89,93,90,91,92,92,90
92,93,91,91,87,86,92,88,91,0
92,92,93,95,92,96,95,93,80,89
91,84,89,0,92,77,0,66,64,82
99,91,95,99,96,96,96,85,97,84
3,3,3,3,2,2,3,3,3,2
3,0,3,0,3,0,0,3,0,2
1,1,1,1,1,0,0.5,1,1,1
0,1,0,1,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,0
1,0,0,0,1,1,0,0,0,0
0,2,0,0,0,1,0,0,0,2
7,8,7,5,6,6,5,4,6,3
35,33,35,2,3,46,2,1,46,6
1,0.5,1,0.5,1,1,0.5,0.5,1,0.5
30,270,30,28,4,11,21,12,1,35
0.5,0.5,0,1,1,0,0,1,0,1
10,7,5,7,5,14,360,8,240,4
0.125,0,0,0.37,0.2,0.91,0.5,0.3,0,0.8
1,0.5,1,5,0.5,0,5,3,5,5
0.0434782609,0.05,0.0625,0.0526315789,0.0588235294,0.04,0.04,0.0294117647,0.0243902439,0.02
4,2,10,5,6,2,5,3,4,3
12,12,12,12,12,12,12,24,12,12
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,0.5
1,0,1,0,0,0,0,1,0,0
