BRIDGE CAMERA
Sony Cybershot HX200V,Fujifilm FinePix HS30,Nikon Coolpix P520,Panasonic Lumix FZ60,Nikon Coolpix P510,Fujifilm FinePix S8400W,Olympus SP-820UZ,Canon Powershot SX500,Panasonic Lumix DMC-FZ200,Pentax X-5,Sony H200
9.83,9.38,8.90,8.50,8.47,7.65,7.60,7.50,7.48,7.20,7.10
18.2,16,18.1,16.1,16.1,16.2,14,16,12.1,16,20.4
30,30,42,24,42,44,40,30,24,26,26
52,60,2,4,2,2,4,4,4,7.2,5
0.034482759,0.041666667,0.041666667,0.04,0.041666667,0.041666667,0.044642857,0.041666667,0.04,0.044843049,0.044843049
870,720,1000,672,1000,1056,896,720,600,580,580
12700,12700,6320,6300,3100,3100,6320,1500,6299,6300,3120
0.00025,0.00025,0.00025,0.00083,0.00083,0.00059,0.00083,0.00063,0.00071,0.00067,0.00067
60,30,30,25,30,60,60,25,60,30,30
1080,1080,1080,1080,1080,1080,1080,720,1080,1080,720
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
100,100,90,85,90,75,75,75,80,80,80
3,3,3.2,3,3,3,3,3,3,3,3
0.210526316,0.196078431,0.2,0.210970464,0.208333333,0.202839757,0.244498778,0.208333333,0.217391304,0.212765957,0.208333333
0.285714286,0.263157895,0.294117647,0.314465409,0.303030303,0.293255132,0.363636364,0.294117647,0.322580645,0.294117647,0.294117647
0.266666667,0.204081633,0.25,0.276243094,0.243902439,0.299401198,0.316455696,0.222222222,0.27027027,0.238095238,0.285714286
0.049212598,0.044603033,0.051546392,0.063131313,0.051020408,0.055555556,0.083333333,0.042372881,0.058445354,0.055865922,0.065789474
450,600,250,480,240,540,195,300,200,200,200
1,1,1,0,0,0,1,0,0,1,0
1,1,1,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,1,1
0,1,1,1,1,1,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0
