Food Processors
Cuisinart Custom 14-Cup,Cuisinart Elite Collection,DeLonghi,Breville Sous Chef,Braun K,KitchenAid 13-Cup,Cuisinart Pro Classic,KitchenAid 7-Cup,Black & Decker,Oster Total Prep
9.83,9.48,9.10,9.08,8.63,8.28,8.20,7.88,7.80,7.15
95,90,100,90,95,85,90,70,80,90
100,85,100,95,90,95,95,95,80,85
100,90,85,65,75,100,85,95,100,90
95,95,90,100,70,80,75,75,50,50
100,95,90,90,100,90,90,70,80,50
100,90,95,75,100,60,90,70,70,20
14,14,9,16,9,13,7,7,11,10
80,100,100,85,60,75,70,85,65,85
95,95,90,100,75,70,90,85,60,85
0.0102669405,0.0102669405,0.0102669405,0.0103092784,0.0102774923,0.0103412616,0.0107411386,0.0104275287,0.0104384134,0.0102564103
1,1,1,0,1,0,0,0,1,0
720,1300,400,1200,600,360,600,320,800,500
1,3,2,1,15,2,1,2,3,2
1,3,2,3,1,3,1,1,3,2
2,2,2,5,3,2,2,2,3,1
3,3,1,1,1,1,3,1,3,3
5,20,1,25,1,1,5,1,3,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,1,0,1
