Android POS
Erply,Clover,Verifone,Kounta,Square Register,AccuPOS,PayPal,Gazelle,Posandro,Groovv
9.50,9.30,8.90,8.53,7.85,7.20,7.00,6.70,6.20,6.15
1,1,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,0,1,1,0,0,1,1,0,1
0,0,0,1,1,0,1,0,0,1
1,0,0,1,1,1,1,1,1,0
90,80,70,75,75,72,70,60,65,55
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
90,90,95,80,95,85,80,80,65,80
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,0,1,0,1,1,0,0
0,1,0,0,1,0,0,0,0,1
95,80,70,90,70,85,90,45,60,70
0,1,1,0,0,1,0,0,0,0
0,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1
1,1,0,1,1,0,1,1,0,1
