iPad Restaurant POS
Revel Systems,SalesVu,Restaurant Manager,Aireus,Lavu,TouchBistro,ShopKeep,Aldelo Touch,Pepperkorn,Square
9.75,9.55,9.38,9.05,8.90,8.75,8.70,8.28,8.05,7.08
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
90,75,85,90,85,80,75,90,80,100
80,90,75,80,70,70,85,85,65,90
85,75,85,90,75,80,80,90,80,100
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0
1,1,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0
1,1,1,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,0,0
1,1,1,0,0,1,0,0,0,0
1,1,1,0,1,1,1,0,1,1
1,1,1,0,1,0,1,0,1,0
0,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,0,1,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,1
1,1,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,1
