Retail POS
Revel,Vend,NCR,Lightspeed,Shopify,Square,iPayment,ShopKeep,Harbortouch,PayPal
9.90,9.73,9.40,9.33,8.98,8.75,8.50,8.50,8.33,5.00
100,100,80,90,80,85,100,85,90,70
90,90,75,80,95,100,75,75,85,75
95,95,75,90,70,80,80,80,90,50
80,100,80,90,95,90,75,85,75,80
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0
1,1,1,1,1,0,0,1,1,0
1,1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0,1
