Food Scales
Ozeri Touch II,EatSmart Precision Pro,Ozeri Pro II Digital,EatSmart Precision Elite,OXO Good Grips Food Scale,Kalorik Digital Scale,Epicurean Digital Kitchen Scale,MIRA Digital Kitchen Scale,WeighMax Digital Kitchen Scale,American Weigh Blade
8.50,8.03,7.78,7.75,7.70,7.10,6.88,6.73,5.50,5.38
100,100,100,92,100,96,100,100,88,100
18,11,12,15,11,11,18,11,4.4,2.2
10,20,20,20,20,10,20,10,10,100
54,19.63,19.63,65.62,63.45,15.9,35.78,42,19.63,5.4
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
72,100,100,72,100,96,96,68,84,100
1,1,1,1,1,1,2,1,1,1
2,3,3,3,3,1,2,2,1,1
2,2,5,2,4,3,2,2,2,3
1,1.6,1.4285714286,0.5263157895,0.4,0.9090909091,0.5,0.7142857143,1.25,3.3333333333
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1,0,0
1,2,1,2,1,1,1,2,3,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,0,1,0,1
