Food Steamers
Hamilton Beach,BELLA Food Steamer,NaturoPure Digital,Aroma 5-Quart,Aroma Professional,Oster Double Tiered,Ovente Three Layer,NESCO 5-Quart
9.28,9.08,7.78,7.65,7.25,7.23,6.75,5.85
100,95,73,88,85,83,86,86
92,100,73,93,97,90,87,95
100,82,78,93,89,88,90,84
87,100,97,95,81,88,76,56
800,800,800,650,1000,400,400,400
100,100,80,90,70,90,80,90
2,2,3,2,1,2,3,2
0.0055865922,0.005,0.0049261084,0.0052631579,0.0047393365,0.0051282051,0.0060606061,0.004950495
5.5,7.4,12,5,5,5,5,5
34,34,32,40,80,16,18,16
1,1,1,1,1,0,0,0
1,1,1,0,0,0,0,0
1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0
65,75,70,75,70,100,95,55
1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1
