Blu-Ray Player
LG BP,Panasonic DMP-BDT,Sony BDP,Samsung BD-F,Philips 5000 Series,Philips BDP,Samsung BD-H,Toshiba Symbio BDX,Pioneer Elite BDP,Pioneer BDP
9.95,9.70,9.50,9.38,8.70,8.58,8.07,7.82,7.70,7.25
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,0,0
1,1,1,0,1,1,0,0,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,1,1
