French Door Refrigerator
LG,Kenmore Elite,Samsung,GE Profile,Electrolux with Wave-Touch,Frigidaire Gallery,Whirlpool,KitchenAid Architect Series II,Maytag,Frigidaire
10.00,9.20,9.13,8.85,8.78,8.65,8.58,8.33,8.18,8.10
30.5,29.6,30.5,27.7,27.8,27.2,24.7,24.5,26.8,26.7
20.5,19.5,20.5,18.5,19,18.5,17.97,17.78,19.03,18.5
10,10.1,10,9.2,8.8,8.7,6.72,6.73,7.77,8.7
100,75,75,70,90,85,70,95,70,85
0.0161290323,0.0111111111,0.0111111111,0.0114942529,0.0166666667,0.0166666667,0.012195122,0.0196078431,0.0117647059,0.0169491525
0.1934235977,0.1333333333,0.1333333333,0.1379310345,0.2,0.2,0.1464128843,0.2352941176,0.1412429379,0.2032520325
0.4926108374,0.3289473684,0.3389830508,0.3184713376,0.4651162791,0.4545454545,0.3021148036,0.4807692308,0.3154574132,0.4545454545
1,1,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5
3,3,2,3,2,2,3,1,2,2
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
2,1,2,2,2,2,1,3,3,1
6,9,6,7,6,6,6,6,6,6
1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0
3,3,2,2,3,2,2,2,2,2
5,3,5,2,6,3,4,4,6,4
2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.5,1
1,1,2,2,2,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
7,5,5,5,3,0,0,10,0,0
10,10,10,0.8,0,0,0,5,10,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0
1,0,0,1,1,1,1,0,0,1
