Front-Load Washer
Electrolux Wave-Touch,Samsung WF5200,LG Mega Capacity,LG TurboWash,Frigidaire Ready Steam,Kenmore Elite,Bosch Axxi,Whirlpool Duet,GE RightHeight,Maytag Maxima
9.58,9.10,9.08,9.03,8.88,8.63,8.55,8.53,8.40,8.23
0.0436681223,0.0495540139,0.0385653683,0.0448028674,0.0506585613,0.0377643505,0.0469924812,0.0387596899,0.038491147,0.0350877193
0.0769230769,0.0932835821,0.0714285714,0.0833333333,0.0909090909,0.0714285714,0.0714285714,0.0666666667,0.0625,0.0666666667
0.101010101,0.09765625,0.0838222967,0.0968992248,0.114416476,0.0801282051,0.1373626374,0.0925925926,0.1002004008,0.0925925926
0.0002019386,0.0001953125,0.0001629726,0.0001937984,0.0002289377,0.0001602564,0.0002747253,0.0001851852,0.0002003205,0.0001851852
0.0807754443,0.0821018062,0.0651890482,0.0775193798,0.0915750916,0.0641025641,0.1057082452,0.0740740741,0.0801282051,0.0740740741
0.3571428571,0.3448275862,0.3389830508,0.3333333333,0.3571428571,0.3333333333,0.2325581395,0.3333333333,0.3846153846,0.3333333333
1,1,1,1,1,1,1,1,1,1
4.42,4.2,5.2,4.3,3.9,5.2,2.2,4.5,4.8,4.5
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0
22,24,19,19,16,19,24,12,24,9
3,1,1,1,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,1,0,0,0,0
11,9,14,12,10,14,15,12,13,8
12,10,12,11,6,8,6,14,9,5
6,3,5,5,5,5,3,4,5,3
6,4,5,5,5,5,4,4,5,3
0.0666666667,0.0285714286,0.0666666667,0.0666666667,0.05,0.0666666667,0.0333333333,0.0333333333,0.0333333333,0.0333333333
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,0,0
1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,0
1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,0
0,0,1,0,0,1,1,0,1,1
1,0,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,1,1,1
10,10,10,10,10,1,2,1,1,10
50,3,50,50,50,1,1,1,1,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,0,1
