Garage Door Openers
Chamberlain Premium,Chamberlain Ultra Quiet,LiftMaster 8550,Craftsman 0.75 hp Chain Drive,Craftsman 0.5 hp Belt Drive,Chamberlain PD762EV,Sommer 0.75 hp Direct Drive,Chamberlain PD612EV,Genie QuietLift 800,Genie ChainLift 800
9.90,9.38,9.33,8.90,8.65,8.48,8.13,8.10,7.58,7.30
550,300,550,550,300,550,550,300,350,350
0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5
7,7,7,7,7,7,7,7,7,7
1,1,1,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0
2,2,1,2,2,2,2,2,2,2
3,3,3,3,3,3,2,3,3,3
1,1,0,1,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
4.5,4.5,4.5,4.5,4.5,4.5,3,4.5,3,3
200,200,200,200,200,200,120,200,120,120
2,2,2,2,2,2,2,2,2,2
50,50,50,50,10,50,50,10,10,10
50,50,50,3,3,1,50,2,1,1
5,5,5,3,3,1,50,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,0
