Gas Cooktop
GE Cafe,Wolf Transitional,Thermador Masterpiece,Bosch 800 Series,KitchenAid Pro Dual-Tier,Maytag Dual Stack,GE Profile,Kenmore Elite Downdraft,Whirlpool,LG Stainless with Superboil
9.20,8.90,8.63,8.45,8.35,8.13,8.08,7.98,7.95,7.85
20000,18000,18000,18000,20000,18000,15000,18200,18000,17000
5,5,5,5,5,5,5,4,5,5
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0,1,1
1,1,0,1,0,0,1,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,50,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
