Gas Furnaces
Carrier,Bryant,Amana,Goodman,Coleman,Trane,American Standard,Rheem,Lennox,York
9.83,9.80,9.75,9.63,9.55,9.48,9.45,9.43,9.18,9.13
98.5,98.3,98,98,98,97.3,97,96,98.7,98
80,80,80,80,80,80,80,80,80,80
6,6,5,5,3,3,3,1,4,3
50,50,50,50,50,50,50,50,50,5
20,20,50,50,20,20,20,20,20,5
50,50,50,20,50,50,50,50,50,10
10,10,10,10,10,10,10,10,5,10
10,10,10,10,10,10,10,10,5,10
20,10,10,5,10,10,10,10,10,10
8,7,6,6,3,6,6,6,5,4
5,6,7,6,6,5,5,12,4,6
1,1,2,2,3,1,1,3,1,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
