Gas Grills
Weber Genesi,Napoleon Mirage,Broil King Baron,Broil King Signet,Weber Spirit,Char-Broil Stainles,KitchenAid,Char-Broil Classic 4-Burner,Dyna-Glo 3-Burner,Dyna-Glo 5-Burner
9.88,9.73,9.23,8.73,8.68,8.50,8.33,8.30,8.08,7.85
100,95,95,85,75,85,80,85,80,85
0.0019455253,0.0048076923,0.0014556041,0.0016666667,0.001270648,0.006097561,0.0024570025,0.0053475936,0.0044843049,0.0044444444
3,3,4,3,3,4,3,4,3,5
0,1,0,1,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0
38000,74000,50000,65000,49500,47000,48000,48000,36000,62000
38000,48000,40000,40000,32000,34000,36000,38000,36000,50000
0,12500,10000,10000,10000,13000,12000,10000,0,12000
0,13500,0,15000,0,0,0,0,0,0
100,92,90,85,95,75,80,80,80,75
24,20,15,15,20,24,24,24,16,24
5,8,5,10,8,8,8,8,4,18
507,485,444,400,424,450,484,480,507,530
130,190,200,235,105,250,161,208,120,178
6,6.5,5.8,4.0,4.50,6.5,7,6.3,5.75,5.5
4,2,4,2,4,4,2,4,2,2
6,4,4,4,6,0.5,6,0.5,6,0
1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
0.5,0.5,0,1,0.5,0.5,0,0.5,0.5,0
0,1,0,1,0,0,0,0.5,0,0
10,50,10,5,10,10,10,5,5,5
2,5,2,2,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
