Gas Lawn Mowers
Honda HRX,Snapper,Cub Cadet SC 500 EZ,Honda HRR,Husqvarna,Toro Personal Pace,Craftsman 37441,Craftsman 37744,Lawn-Boy,Troy-Bilt
9.68,9.38,9.35,9.35,9.33,9.05,9.03,8.88,8.78,8.58
100,95,97,90,75,85,85,90,80,75
21,21,21,21,22,22,21,21,21,21
2.5,1.9,1.9,2.4,2,2,1.9,1.9,2.5,1.9
0.0101832994,0.0102145046,0.0106382979,0.0101522843,0.0100502513,0.0102249489,0.0117647059,0.0111111111,0.0102354145,0.0105708245
7,6,6,6,9,5,6,6,6,6
1.33,0.8,0.8,0.888,0.666,1,0.8,0.8,0.8,0.8
4,3.75,3.75,4,4,4,3.75,3.75,3.75,3.75
2,1,2,2,3,3,2,2,1,1
4,1,0.5,1,4,4,4,2,2,2,2
1.5,1.5,1,1.5,1,0,0,0,0,0
0,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,1,0
0.0104166667,0.0117096019,0.01,0.0119047619,0.0112359551,0.011627907,0.0119047619,0.010989011,0.0138888889,0.0117647059
190,175,159,160,190,159,163,163,149,150
0,1,1,0,1,1,1,1,0,1
5,3,3,3,3,3,2,2,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
