Gas Ranges
LG,Samsung Convection,GE Profile Series,KitchenAid Architect,Electrolux IQ Touch,Kenmore Elite,Samsung Self Cleaning,Maytag 5.8,Whirlpool 5.8,Frigidaire Professional
9.63,9.45,9.33,9.28,9.20,9.08,9.05,9.00,8.90,8.88
18500,18000,18000,17000,18000,18200,17000,17000,17000,18000
5,5,5,5,5,5,5,5,5,5
5000,1000,5000,5000,500,5000,5000,5000,5000,5000
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,1
1,1,1,1,0.5,0,1,0,0,0.5
6.3,5.8,5.6,5.8,5,5.6,5.8,5.8,5.8,5.6
14500,13500,12000,11000,13500,13500,13500,11000,10000,13500
550,550,550,500,550,550,550,500,550,550
3,3,3,3,3,3,2,2,2,3
7,7,6,7,6,6,7,7,7,6
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
5,0,0,5.5,3,0,0,10,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
