Juicers
Juice Fountain Plus,Power Juicer Deluxe,Omega Mega Mouth Juicer,Kuvings Centrifugal Juicer,Cuisinart Juice Extractor,Ninja Mega Kitchen System,Fusion Juicer,NutriBullet Juicer,HealthMaster,Juiceman
9.35,8.08,7.58,7.28,7.20,6.78,6.50,6.45,6.25,5.85
90,100,90,95,80,60,75,60,70,80
3,3,2,3,3,1,3,1,1,2
26,40,24,36,23,12,21.5,16,16,25.5
9,8,10.5,10,10,4,8,12,4,9
16,15,18,8,17,20,16,8,24,17
1,1,1,1,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,1,1,1
1000,0,0,0,1000,2100,0,700,2000,1000
0.0037037037,0.0033333333,0.0027777778,0.0037037037,0.0033333333,0.0066666667,0.0037037037,0.0166666667,0.0111111111,0.003030303
0.0333333333,0.0333333333,0.0166666667,0.0037037037,0.0083333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0022222222
0.2,0.1666666667,0.2,0.2,0.1428571429,0.3333333333,0.2,0.5,0.25,0.1666666667
0.25,0.5,0.5,0.1666666667,0.5,0.1,0.1666666667,0.0588235294,0.04,0.25
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0,1,0,0,0
1,1,1,0,0,1,1,0,1,0
0.0136986301,0.0149253731,0.0120481928,0.0136986301,0.012345679,0.0104166667,0.0135135135,0.0107526882,0.0111111111,0.0117647059
2,1,2,2,1,3,2,3,3,2
1,1,1,1,1,0,0,0,0,0
1,1,1,0,1,1,0,1,0,1
0,0,0,0,0,1,0,1,1,0
0,0,1,0,0,1,0,0,1,1
0.064516129,0.0625,0.0666666667,0.0606060606,0.0606060606,0.0571428571,0.0625,0.0714285714,0.0512820513,0.0625
0.08,0.0833333333,0.125,0.1428571429,0.0769230769,0.1052631579,0.0833333333,0.1538461538,0.1176470588,0.1052631579
0.125,0.064516129,0.08,0.0769230769,0.1111111111,0.1333333333,0.125,0.2,0.1176470588,0.1176470588
1,0.16,1,1,3,1,0.16,1,0.16,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,0,0,0
