Gaming Keyboards
Corsair Vengeance K95 RGB,Logitech G910 Orion Spark,CoolerMaster Quick Fire XTi,Logitech G710+,Roccat Ryos MK Pro,Razer BlackWidow Chroma,SteelSeries Apex M800,Mad Catz STRIKE TE,Corsair Strafe,Ducky Shine 4
9.80,9.40,9.23,9.10,9.03,8.75,8.48,8.40,8.28,7.93
99,92,97,94,93,93,91,94,93,92
91,88,97,96,90,98,93,97,95,92
98,82,96,94,92,84,82,84,100,98
2,1.5,2,2,2,1.9,1.5,2,2,2
1,0,1,0,1,1,1,0,0,0
1,1,0,1,0,0,0,1,0,0
0,0,0,1,1,1,1,0,1,0
0.01552795,0.018115942,0.01618123,0.01618123,0.016233766,0.016313214,0.016638935,0.01572327,0.015873016,0.015898251
3,3.3,2.5,3.2,3,3.3,3.1,3.1,2,2.6
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,0,1
4,10,6,5,6,10,7,6,4,8
1,1,0,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
100,100,100,26,100,10,100,30,100,100
94,96,93,95,92,94,83,81,94,96
18,9,0,6,5,5,6,5,0,0
100,100,100,6,100,100,100,12,100,100
1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
2,2,2,3,1,1,1,2,2,1
0,1,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,1,0,1,1
