Hair Straighteners
HSI Professional Ceramic Ionic,Farouk CHI,Corioliss C3,Rusk Professional Str8,Amika,GHD Classic Styler,BaBylissPro Nano 1 U Styler,Conair Infiniti Pro,Remington TStudio PROtect
9.75,9.70,9.58,9.48,9.20,8.90,8.18,7.95,5.10
7,0,8,0,5,0,4,5,1
5,4,5,4,3,3,3,2,0.4
7,4,4,4,3,4,3,3,0.7
8,4,6,4,4,4,3,3,0.7
425,455,450,450,365,450,455,450,450
0.005,0.0036363636,0.0033333333,0.00625,0.0028818444,0.0029411765,0.0047169811,0.0041666667,0.0033333333
1.5,1,1.5,1,2,1,1.5,2,2
0.025,0.0285714286,0.025,0.0588235294,0.0454545455,0.0277777778,0.0666666667,0.0166666667,0.0333333333
3,4,0,0,1,3,30,0,0
1,0,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,0,1,0
0,0,0,0,1,0,1,1,1
0,1,0,0,1,0,0,1,0
7,8,6,8,8,8,8,3,0.4
0.1136363636,0.1212121212,0.1075268817,0.1176470588,0.1162790698,0.119760479,0.1219512195,0.0966183575,0.085106383
11,9.10,9.2,7.11,8.9,9.3,6.3,7.11,6.2
1,2,1.5,1.5,1,2,2,1,2
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,0
1,0,1,1,0,0,0,0,0
2,1,2,1,2,4,5,1,4
1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,1
1,0,1,1,1,0,0,1,0
0,1,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,1,0
