Handheld Vacuum
Hoover Platinum Collection LiNX,Shark Cordless Pet Perfect,Eureka Easy Clean,Bissell CleanView,Black & Decker Dustbuster,Bissell Pet Hair Eraser,Black & Decker Pivot 20V,Dyson V6,Dirt Devil Accucharge,MetroVac Vac N Go
9.65,9.43,9.25,9.15,8.93,8.88,8.80,8.63,8.45,7.73
0.25,0.2,0.5,0.25,0.1666666667,0.25,0.1666666667,0.1428571429,0.1666666667,0.125
0.125,0.1111111111,0.3333333333,0.1111111111,0.1,0.1666666667,0.1111111111,0.0909090909,0.1,0.0714285714
95,95,95,85,85,75,80,80,50,30
95,90,70,95,95,80,85,85,85,60
7,16,16,8,5,16,8,0,8,5
23,10,0,0,19,17,17,6,17,0
0.3333333333,0.0625,0,0,0.0416666667,0.0416666667,0.1666666667,0.3333333333,0.0416666667,0
0.3125,0.2380952381,0.2083333333,0.2173913043,0.243902439,0.25,0.2325581395,0.2941176471,0.3076923077,0.3703703704
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0
0,0,0,1,0,1,0,0,1,0
0.011299435,0.0110132159,0.0107526882,0.0120048019,0.0109051254,0.010845987,0.0105932203,0.0105374078,0.0112612613,0.0108108108
1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,0,1,1,0,1
1,1,1,1,0,0,1,0,0,1
0,0,1,1,0,0,0,0,0,0
2,1,1,1,2,1,2,2,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
