Hardwood Floor Vacuum Cleaners
Shark Rotator Powered Lift-Away,BISSELL Hard Floor Expert Deluxe,BISSELL BOLT XRT PET 2-in-1,Eureka Mighty Mite,Hoover Platinum Collection LiNX,Panasonic Canister Vacuum Cleaner,Dirt Devil Accucharge,Miele S194 Quickstep,Hoover FloorMate SpinScrub
9.83,9.25,8.98,8.85,8.83,8.63,8.55,8.53,7.30
95,95,100,95,95,100,95,80,95
95,91,55,100,85,100,95,79,52
105.6,33.8,13.5,96,32,47.36,0,83.2,32
1,2,2,1,2,0,2,1,0
1,1,1,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0
0.0125786164,0.0121212121,0.012987013,0.0113636364,0.0118343195,0.0119760479,0.012195122,0.0117647059,0.0114942529
12,10,10,10,11,8,9.5,11.25,13
0.0641025641,0.1111111111,0.1818181818,0.1162790698,0.1369863014,0.0769230769,0.1709401709,0.1111111111,0.0606060606
30,16,0,20,0,16,0,26,27
1,1,1,0,1,0,0,0,1
1,1,1,0,1,1,1,0,1
0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0
0,0,1,0,0,0,0,1,0
0,0,20,0,15,0,10,0,0
0,0,0.125,0,0.3333333333,0,0.1666666667,0,0
0,0,0,0,1,0,1,0,0
6,8,0,7,0,6,0,0,0
1,1,1,1,0,1,0,0,0
1,1,1,1,0,1,0,1,0
1,1,0,1,0,1,1,1,0
7,2,1,1,2,1,2,7,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1
