Heart Rate Monitor Watches
Polar RS300X,Suunto Quest,Garmin Forerunner 15,Polar FT7,Polar FT4,Garmin FR70,Mio Alpha,Timex Ironman Road Trainer,Timex Ironman Easy Trainer,Mio Link
9.28,9.78,9.08,8.53,8.40,8.00,7.98,7.48,7.35,6.98
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1
1,1,0,1,1,0,1,0,1,0
1,1,1,0,0,1,1,1,1,0
1,1,1,0,0,0,0,0,0,1
0.5,0.5,1,0,0,0,0,0,0,0
12,12,1,11,12,12,0.03,24,24,0.015
2.56,2.8224,0.9212,1.8,1.8,0.88,2.142,2.9929,2.4649,0
0.7692307692,0.7092198582,0.6666666667,0.9090909091,0.9090909091,0.625,0.5102040816,0.5263157895,0,0.8333333333
50,30,50,30,30,50,30,100,30,30
2,4,5,4,4,2,3,6,1,2
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,0
99,1000,7,99,10,100,0,75,27,0
0.5,1,1,0.5,0.5,2,2,0,0,2
0,1,1,0,0,1,5,0,0,5
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,1
0,1,1,0,0,1,1,0,0,1
2,2,1,2,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
