Home Gyms
Bowflex Xtreme 2 SE,Yukon,Bodycraft,Total Gym Fit,Body-Solid G1,Powerline,Life Fitness G2,Powertec,Powerline P2X,Body-Solid EXM
9.28,9.10,8.85,8.60,8.23,8.15,7.98,7.65,7.45,6.85
70,27,25,85,40,40,25,20,22,21
0.2,0.1,0.2,0,0.1,0.1,0.1,0.0666666667,0.1,0.1
300,300,300,450,0,0,300,500,0,0
410,200,200,0,160,160,210,500,210,210
210,200,200,0,160,160,160,225,160,210
0.1449275362,0.1470588235,0.1481481481,0.2702702703,0.1449275362,0.1515151515,0.1449275362,0.1492537313,0.1449275362,0.1449275362
0.2083333333,0.1098901099,0.1666666667,0.1290322581,0.25,0.1724137931,0.1694915254,0.1,0.1694915254,0.1449275362
0.25,0.0833333333,0.2083333333,0.6666666667,0.3333333333,0.2857142857,0.25,0.1666666667,0.1818181818,0.2352941176
0.0054054054,0.0016393443,0.0020703934,0.0151515152,0.0030959752,0.0030487805,0.0026385224,0.0023809524,0.0025575448,0.0022727273
1,4,2,1,1,1,1,3,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.5,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1
1,1,0.5,0,0,0.5,0.5,0,0.5,0
0,1,1,0,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,1
0,0,1,1,1,0,0,0,0,0
50,50,50,2,50,1,3,2,1,50
7,50,50,50,50,10,50,50,10,50
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,0,0,0
