Hot Plates
Sunpentown,BergHOFF,Max Burton,Secura,Tatung,Aroma,Waring,Brentwood,Continental,Proctor Silex
9.40,8.60,8.50,8.28,7.55,5.38,5.00,4.88,4.40,4.28
0.0038610039,0.0027624309,0.0034246575,0.0024875622,0.0030864198,0.0011668611,0.0015797788,0.0015923567,0.0020618557,0.0016
0.0009746589,0.0008561644,0.0009940358,0.001183432,0.0006958942,0.0009746589,0.0009718173,0.001183432,0.0012690355,0.0009832842
80,100,90,80,50,70,80,50,80,40
0.001,0.00666,0.007,0.007,0.007,0.009,0.005,0.002,0.00666,0
390,450,450,460,392,398,515,800,350,0
1650,1600,1200,1800,1500,800,1300,1000,1100,1000
13,10,10,10,9,4,5,3,3,3
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,0.5
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1
