Humidifier
Boneco,Stadler Form,Winix,PureGuardian,Heaven Fresh,Sunpentown,Crane,Vornado,Holme,Honeywell
9.83,9.23,9.18,9.13,8.93,8.50,8.28,7.95,7.65,7.30
3.5,3,3.17,2,3.67,2,2.5,2,2,2
650,760,600,650,640,500,500,600,500,360
1.75,2,1.85,2,1.6,1,1.2,1,1.2,1.5
1,1,1,1,1,0,1,0,1,1
1,1,0,1,1,1,1,0,0,0
1,1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,0,0
1,1,1,0,1,0,1,1,1,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,0,1,0
0.1298701299,0.1136363636,0.0649350649,0.1785714286,0.1851851852,0.1333333333,0.1388888889,0.1639344262,0.1515151515,0.101010101
0.0666666667,0.0970873786,0.0746268657,0.125,0.0862068966,0.0757575758,0.0751879699,0.1136363636,0.0909090909,0.0757575758
0.1149425287,0.1282051282,0.0746268657,0.0641025641,0.1298701299,0.1886792453,0.1041666667,0.1639344262,0.1111111111,0.0961538462
0.1149425287,0.0689655172,0.0564971751,0.0869565217,0.0909090909,0.0806451613,0.0666666667,0.0714285714,0.0420168067,0.0537634409
1,1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,0,0,1,1
3,1,2,3,3,1,1,5,1,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
