Ice Cream Makers
Cuisinart ICE-21,Cuisinart Pure Indulgence,KitchenAid Attachment,Hamilton Beach 1.5 Quart,Cuisipro Donvier,Hamilton Beach 4 Quart,YayLabs! Ice Cream Ball,Aroma Traditional 4 Quart,Nostalgia Electrics 4 Quart,Hamilton Beach Half Pint
9.73,9.63,9.28,9.18,8.58,8.38,8.15,8.00,7.90,7.83
0.0333333333,0.025,0.0333333333,0.0166666667,0.0111111111,0.0166666667,0.0111111111,0.0166666667,0.0166666667,0.0166666667
1.5,2,2,1.5,1,4,1,4,4,0.25
4,4,3.5,3.5,3.5,2,4.5,2,2,3
90,90,85,90,85,80,60,65,80,90
0.25,0.25,0.25,0.25,0.25,0.25,1,0.1428571429,0.25,0.3333333333
0.2,0.2,0.125,0.2,0.125,0.1,0.0666666667,0.05,0.1,0.2
0,0,1,0,0,0,0,0,0,0
28,28,12,6,6,16,19,8,10,7
0.1351351351,0.0925925926,0.1818181818,0.1587301587,0.15625,0.1111111111,0.1111111111,0.1149425287,0.1428571429,0.1666666667
0.0909090909,0.0892857143,0.1428571429,0.0930232558,0.0909090909,0.0689655172,0.1428571429,0.0625,0.0625,0.1075268817
0.1111111111,0.125,0.0909090909,0.1142857143,0.1111111111,0.0746268657,0.037037037,0.0833333333,0.0588235294,0.1351351351
0.2083333333,0.2,0.1666666667,0.1142857143,0.2,0.1111111111,0.1666666667,0.0666666667,0.0666666667,0.1351351351
