Indoor Electric Grills
Cuisinart 1r,West Bend,Hamilton Beach,Breville Smart Grill,DeLonghi,George Foreman,SmartPlanet,Oster DuraCeramic,Zojirushi,Livart
9.55,8.38,8.28,8.00,7.55,7.50,6.55,6.53,5.58,4.80
100,90,95,65,95,80,97,65,65,75
95,80,90,65,95,55,95,55,65,85
100,95,90,55,85,75,80,90,85,50
0.2,0.1,0.3333333333,0.25,0.0909090909,0.1111111111,0.0833333333,0.1,0.1111111111,0.0833333333
0.1666666667,0.2,0.0833333333,0.0909090909,0.1428571429,0,0.125,0.05,0.0833333333,0.0909090909
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,0
1,0.3333333333,1,0.5,0.25,1,1,0.3333333333,0.5,0.5
0.2,0.2,0.25,0.3333333333,0.2,0.25,0.2,0.25,0.1428571429,0.1111111111
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
132,165,84,130,165,108,120,165,165,82.5
1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,0,1,0,0
1,1,1,1,1,1,0,1,1,0
0,0,0,1,0,1,0,0,0,0
2,1,2,2,1,2,0.5,0.5,0.5,0.5
0.1333333333,0.1538461538,0.2,0.1428571429,0.1538461538,0.1666666667,0.2857142857,0.2857142857,0.2857142857,0.2
0.0714285714,0.0769230769,0.1,0.0714285714,0.0833333333,0.0769230769,0.0869565217,0.0714285714,0.0740740741,0.125
0.0714285714,0.0555555556,0.0833333333,0.064516129,0.05,0.0606060606,0.0555555556,0.05,0.0512820513,0.0666666667
3,1,1,1,1,3,0.25,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,0,0,1,0,0,0,0,0,1
