Induction Cooktop
Bosch,Frigidaire,KitchenAid,Miele,GE Cafe,Wolf,Bertazzoni,Kenmore,Whirlpool,Fagor
9.33,9.23,8.78,8.10,7.88,7.63,7.08,6.95,6.63,6.30
95,85,100,75,90,60,50,70,75,90
80,75,80,80,60,80,90,80,80,100
4,4,4,4,0,3,4,4,1,0
2,2,2,2,2,2,2,2,4,2
1,1,1,0,1,1,0,0,0,0
11,10,11,11,11,10.5,8,10,10,9
3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,1
1,1,2,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0
75,100,80,85,100,95,85,90,85,80
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
