Graphics Cards
Nvidia GeForce GTX 980,Nvidia GeForce GTX 970,AMD Radeon R9 290X,Nvidia GeForce GTX 780,Nvidia GeForce GTX 770,AMD Radeon R9 280X,Nvidia GeForce GTX 680,AMD Radeon HD 7970,Nvidia GeForce GTX 760,Nvidia GeForce GTX 670
9.73,9.48,9.45,9.30,9.08,9.00,8.98,8.90,8.88,8.85
111.9,94.5,93.3,83.6,71.6,69,67.9,66.6,57.2,59.6
58.3,50.2,51.3,41.9,36.1,37,33.7,36.3,27.6,27.6
93.8,79.1,85.6,71.9,66.6,64.2,62.6,61.4,48.6,49.9
89.7,78.7,75.33,64.7,55,53.7,53.8,51.7,44,48
132.8,115.3,93.7,97.3,86.8,73.4,83.5,69.5,70.9,74.4
110.1,89.8,86.5,85.5,78.8,70.2,74.3,68.2,64.4,66.8
179.3,151.5,168.4,139.9,114.1,121.7,107.4,118.4,95,97.5
84.2,71,69.4,61.1,51.2,52.2,47.8,50.1,40.6,41.9
159.5,136.8,135.6,117,98.8,96.6,94.6,95.5,78,83
99.2,78.2,73.9,72.9,56.9,52.3,53.2,48.4,45.4,47.5
13297,11421,10851,9657,7868,8020,7868,7683,6971,7215
2048,1665,2816,2304,1536,2048,1536,2048,1152,1344
144,109.2,176,166,134,109,128.8,118.4,94.1,102.5
72.1,67.2,64,41.4,33.5,27.2,32.2,29.6,31.4,29.3
1126,1050,1000,863,1046,1000,1006,925,980,915
7,7,5,6,7,6,6,5.5,6,6
256,256,512,384,256,384,256,384,256,256
224,224,320,288.4,223.3,288,192.2,264,192.2,192.2
4,4,8,3,2,3,2,3,2,2
4,3,4,3,3,4,4,4,3,3
0.06666666666666667,0.05,0.0625,0.1,0.1,0.08333333333333333,0.07142857142857142,0.09090909090909091,0.1,0.07142857142857142
0.005376344086021506,0.006993006993006993,0.004132231404958678,0.004878048780487805,0.005714285714285714,0.0047169811320754715,0.005813953488372093,0.005,0.006666666666666667,0.00625
0.0044444444444444444,0.006535947712418301,0.003278688524590164,0.004048582995951417,0.0047169811320754715,0.004098360655737705,0.004807692307692308,0.00390625,0.006369426751592357,0.006097560975609756
0.03115264797507788,0.03115264797507788,0.029239766081871343,0.032051282051282055,0.03236245954692557,0.032051282051282055,0.030030030030030033,0.031746031746031744,0.031446540880503145,0.03012048192771084
0.02293577981651376,0.02450980392156863,0.01689189189189189,0.024038461538461536,0.02421307506053269,0.02066115702479339,0.023148148148148147,0.020491803278688527,0.02512562814070352,0.025380710659898477
0.011389521640091117,0,0.011160714285714286,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011160714285714286,0.011389521640091117,0.011160714285714286,0.011160714285714286
0.005681818181818182,0,0.004970178926441352,0.005567928730512249,0.005681818181818182,0.006329113924050633,0.005681818181818182,0.006119951040391676,0.005567928730512249,0.005681818181818182
4,4,6,4,4,6,4,6,4,4
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
