Infrared Grills
Broilmaster R3B,TEC Cherokee,Weber Genesi,Char-Broil Commercial,Better Homes and Gardens BH12,Magma Newport II,Solaire Anywhere,Napoleon FreeStyle,KitchenAid 720,Kenmore S3218
9.50,9.28,9.25,9.23,9.05,8.85,8.35,8.33,7.88,7.80
95,100,90,80,95,85,70,70,95,80
1,2,1.5,1,1,1,1,1,1,1
1,2,1,2,1.5,2,2,2,1.5,1.5
0.003164557,0.0028571429,0.0027777778,0.0024390244,0.0081967213,0.0029761905,0.0084033613,0.0175438596,0.0023809524,0.0009259259
40000,13000,60000,45000,72000,11200,14000,14000,91000,83000
2,1,5,4,6,1,1,1,8,7
95,95,100,89,95,90,85,85,75,75
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1
1,1,0,0,0,0,0,0,1,1
442,212,507,525,500,162,155,215,850,576
253,0,130,200,212,0,0,105,207,192
100,95,95,95,75,90,90,95,90,80
4,0,4,4,4,0,0,0,2,4
1,1,1,1,1,1,0,1,1,1
0,1,0,0,0,1,1,1,0,0
0.5,0,1,1,1,0,0,0,1,1
10,1,10,50,1,1,1,2,10,10
50,1,5,1,1,1,1,50,0,1
50,1,10,1,1,1,1,50,0,1
50,1,10,1,1,1,1,50,3,1
1,1,2,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
