Irons
Rowenta,T-fal,Shark,Singer,Black & Decker,Maytag,Sunbeam,Black & Decker D2030,SteamFast,Panasonic
9.85,9.80,9.73,9.45,8.98,8.78,8.75,8.20,7.28,7.18
7,7,6,5,3,4,3,2,1,0.7
8,8,8,8,7,8,7,7,6,5
6,4,6,6,4,3,3,2,1,0.4
8,8,7,6,4,2,4,4,3,2
8,8,6,5,8,5,8,5,3,1
8,8,7,5,4,4,2,4,4,3
1600,1725,1800,1700,1500,1500,1500,1500,420,1200
300,64,176,23,26,34,244,31,4,29
0.0416666667,0.0416666667,0.03125,0.0384615385,0.0222222222,0.0181818182,0.0294117647,0.025,0.0666666667,0.0083333333
176,500,150,190,170,151,164,160,360,400
9.25,9.25,9.38,8.75,9.63,9.38,9.63,9.25,5.13,8.75
0.1,0.1,0.1428571429,0.1,0.1,0.1,0.1666666667,0.1428571429,0,0
6,6,6,9,7,7,5,7,5,6
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1
1,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
9,12,8,8,8,8,10,8,8,8
0.4115226337,0.4,0.3144654088,0.4166666667,0.2659574468,0.3623188406,0.3533568905,0.3401360544,1.0416666667,0.4098360656
0.1666666667,0.1694915254,0.1470588235,0.1666666667,0.1587301587,0.1818181818,0.1538461538,0.1587301587,0.325732899,0.1612903226
0.2105263158,0.1886792453,0.2222222222,0.2380952381,0.1960784314,0.2222222222,0.1694915254,0.2040816327,0.3344481605,0.2
0.0909090909,0.0900900901,0.0806451613,0.0869565217,0.0833333333,0.0892857143,0.081300813,0.0869565217,0.1923076923,0.0847457627
8.45,9,12.1,9.8,10,7.1,10.1,12,1.4,6.5
1,1,1,1,1,2,1,1,1,1
1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,1,1,0,1,0
1,1,1,1,1,0,0,0,1,0
0,0,0,1,1,0,0,1,0,0
0.125,0.125,0.25,0.125,0.125,0.125,0.0666666667,0.1,0.125,0
0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0,0,0
0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0.0333333333,0,0,0
5,1,5,2,2,2,1,2,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,0
0,0,1,0,0,1,1,0,1,1
