Laser Line Levels
DeWALT,Bosch GLL 2,Skil,Stanley,Hammerhead,Johnson,Craftsman,Black & Decker,Bosch GLL 1P,Ryobi AirGrip
9.28,8.95,8.75,8.55,8.35,8.05,7.88,6.13,5.00,3.73
4,4,4,4,4,6,4,4.5,0,0
0.3333333333,0.3333333333,0.3333333333,0.2857142857,0.2,0.3333333333,0.2,0.2,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,1,1
0,1,0,1,1,0,0,0,0,1
50,30,30,50,30,100,100,20,16,30
130,120,120,130,110,110,110,40,45,40
8,5.333,4,5.333,4,4,4,8,5.333,2
2,2,2,3,2,2,2,2,2,1
1,1,1,1,1,1,1,0,0,0
1,1,1,0,1,0,1,0,0,0
0.1075268817,0.3846153846,0.4166666667,0.1111111111,0.3636363636,0.25,0.4,0.1265822785,0.1666666667,0.2857142857
0.1111111111,0.4,0.3125,0.1515151515,0.4761904762,0.25,0.25,0.3636363636,0.9090909091,0.3571428571
0.2,0.3076923077,0.2777777778,0.2631578947,0.303030303,0.2857142857,0.2,0.0952380952,1.1111111111,0.7692307692
0.2857142857,2,0.9090909091,0.625,2,0.8333333333,1,1.6666666667,5,5
20,15,15,15,15,12,20,20,20,2.5
1,1,1,1,1,0,1,0,1,0
1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0
3,1,1,2,3,3,1,2,2,2
1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,1,1,1
0,1,0,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
