Leaf Blowers
Black & Decker,WORX TRIVAC,Toro,Husqvarna,Craftsman,Makita,Poulan,GreenWork,Hitachi,Tanaka
9.33,9.15,8.45,8.35,7.45,7.40,7.13,7.00,6.20,6.18
0.1851851852,0.1030927835,0.1176470588,0.1041666667,0.1,0.1020408163,0.0925925926,0.303030303,0.1162790698,0.1162790698
0.027027027,0.0277777778,0.0243902439,0.025974026,0.027027027,0.0285714286,0.0263157895,0.0298507463,0.0298507463,0.0298507463
0.0116009281,0.0102669405,0.0104166667,0.0102145046,0.0095238095,0.0103412616,0.0093632959,0.010384216,0.0103412616,0.0103412616
17.5,17.4,16.8,17.5,11.25,16,11.75,17,18,17.5
120,210,250,170,200,145,230,130,170,170
1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0
1,1,1,1,0,1,0,1,1,1
1,0,0,0,0,0,0,1,0,0
1,2,2,1,2,1,1,1,1,1
1,1,0,1,1,1,1,0,0,0
1,1,0,1,1,1,1,1,0,0
1,0,0,1,0,0,0,0,0,0
3,3,2,2,2,2,2,4,7,7
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,1,1
