LED Light Bulbs
Cree 9.5-Watt,Philips LED 425264,G7 Power Incline,Feit 13.5-watt,EcoSmart GP19,TCP LED 40W,Sylvania 73014,GE 89888,Philips 433227,Lighting Ever 10W
10.00,9.25,8.40,8.28,8.20,8.20,8.13,8.08,8.03,6.88
60,60,60,60,60,40,60,60,60,60
0.1052631579,0.0909090909,0.1,0.0740740741,0.1,0.1428571429,0.1,0.0909090909,0.0952380952,0.1
0.8771929825,0.7575757576,0.7575757576,0.6134969325,0.8333333333,1.1904761905,0.8333333333,0.7575757576,0.7575757576,0
22.8,22.8,22.8,22.8,18.26,22.8,22.8,13.7,22.8,22.8
800,830,810,800,800,550,800,800,830,810
84,72,74,59,89,67.1,80,73,76.2,0
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0,0,0
2,2,2,2,2,1,1,2,2,1
2,1,1,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,0
2,2,1,1,2,2,1,1,1,1
80,80,80,80,80,82,80,80,80,85
10,6,10,1,5,3,3,5,3,5
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,0
