Over-the-Range Microwave
Kenmore Elite,GE Profile,LG LMV18,Samsung M,Sharp R-1874,Electrolux EI30,Kenmore 80333,KitchenAid Pro Line
9.95,9.80,9.75,9.75,9.63,9.60,9.58,9.45
1050,1000,1100,1000,850,1000,1000,1000
10,10,10,10,11,10,10,10
1.8,1.7,1.8,2.1,1.1,1.8,1.7,1.8
1,1,1,1,1,1,1,1
8,9,7,12,8,5,8,4
1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0
1,0,0,0,1,0,0,0
400,300,400,400,240,400,300,300
4,3,3,4,2,4,2,4
2,2,2,2,2,3,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1
2,4,2,1,4,1,3,3
2,2,1,1,2,1,1,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1
1,1,1,1,1,1,1,1
5,5,10,10,7,10,1,5
1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,1
