Meat Grinders
STX Turboforce,Sunmile,Best Choice Products,Buffalo Tools,Nesco,Waring Pro,Maxi-Matic,LEM,Maverick,Homeleader
9.50,8.20,8.15,7.95,7.45,7.33,7.28,7.10,7.03,6.65
3000,350,2000,350,500,350,550,575,575,800
2.4,0.5,2.6,0.5,0.5,0.5,1.5,0.75,0.75,1
3.75,2.5,3,1.5,2,2,2,2,2,3
3,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0
1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0
2.75,2.125,2.75,2.125,2.125,2.5,2.125,2.375,2.5,2.125
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,1
3,3,3,3,1,3,1,2,3,3
3,1,1,1,3,1,1,1,1,3
3,3,0,1,1,2,1,1,1,1
0.0833333333,0.1265822785,0.0909090909,0.1388888889,0.1,0.0724637681,0.1,0.0917431193,0.1290322581,0.1
0.0606060606,0.0518134715,0.0769230769,0.0769230769,0.0806451613,0.064516129,0.1219512195,0.0746268657,0.0729927007,0.0485436893
0.1538461538,0.0961538462,0.1515151515,0.1428571429,0.0952380952,0.0952380952,0.0980392157,0.0699300699,0.1282051282,0.1265822785
0.0689655172,0.119047619,0.1,0.0666666667,0.0943396226,0.1111111111,0.0588235294,0.0943396226,0.125,0.1020408163
3,1,1,0.08,1,5,1,1,0.25,1
1,0,1,1,1,1,1,1,0,0
