Meat Slicers
Chef's Choice,Maxi-Matic,Nesco,Kalorik,Weston,Knox,Waring Pro,Open Country,Chard,LEM
10.00,9.65,9.48,9.20,9.03,8.60,8.58,8.08,6.98,5.48
92,88,86,82,81,85,75,72,68,66
100,92,85,92,92,91,90,81,91,90
100,130,180,200,150,200,130,150,150,80
7,7.5,8.7,7.5,8.6,7.5,7.5,7.5,7.5,7.5
0.75,0.5,0.6,0.5,0.5,0.5,0.45,0.45,0.5,0.6
1,1,1,1,1,1,1,1,1,1
95,95,95,95,95,90,87,82,80,77
100,100,100,100,100,100,100,85,69,66
0.015625,0.0163934426,0.0161290323,0.0153846154,0.0158730159,0.0149253731,0.0144927536,0.0158730159,0.0161290323,0.0161290323
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,5,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,0,1
1,0,1,0,1,0,1,1,0,1
