Meat Thermometers
ThermoWorks Classic,ThermoWorks Thermopop,Lavatools,EatSmart,CDN ProAccurate Thermocouple,Polder Stable-Read,iDevices,Supreme Home Cook,Taylor Pro,CDN ProAccurate
9.70,9.50,9.43,9.33,9.30,9.03,8.18,7.75,7.50,7.25
0.7,2,0.9,1,1.8,2,2,2,1,2
0.2777777778,0.1351351351,0.119047619,0.1136363636,0.125,0.0694444444,0.0505050505,0.0322580645,0.0543478261,0.0510204082
0.017,0.017,0.03,0.025,0.017,0.02,0.03,0.00001,0.025,0.025
572,572,482,572,572,392,392,392,450,450
90,100,90,90,90,90,85,75,90,90
4.5,4.5,2.75,4,4.25,4.5,3.75,7,5,5
1,1,1,0,1,1,1,0,1,1
0.1,0.1,0.0166666667,0,0.1,0.1,0.2,0,0.1,0.1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1
0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0
2,2,50,2,5,1,1,1,1,5
1,1,0,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,1
