Mixer
KitchenAid Artisan,Cuisinart SM,Breville Scraper Mixer Pro,KitchenAid Classic,Kenmore Elite,Oster 2,Bosch Compact Mixer,Sunbeam Heritage,Sunbeam Hand & Stand,Hamilton Beach Classic
8.55,8.30,7.95,7.20,7.00,6.30,6.10,3.33,3.00,2.45
100,90,90,100,80,95,95,25,80,20
95,80,85,90,70,80,25,30,60,40
100,50,90,95,30,40,40,80,20,50
9,12,5,8,8,4,10.6,4.5,2.5,0
325,800,550,275,600,350,400,350,250,290
10,12,12,10,10,12,4,12,6,6
2,2,2,2,2,2,2,1,1,1
0,1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,0,0,0,0
0,1,1,0,1,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0,0
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,0,0,1,0,0,1,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0
1,1,0,1,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0
1,3,1,1,5,2,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,0
