TV LCD
Sanyo LCD,Westinghouse LCD,Sceptre LCD,LG LCD,Sansui LCD,Haier LCD,Samsung LCD,Dynex LCD
9.08,9.00,8.68,8.25,7.50,7.25,7.15,5.18
1,1,0,0,1,0,0,0
55,60,46,37,50,58,32,37
20,16,14,20,0,0,20,16
2073600,2073600,2073600,2073600,2073600,2073600,921600,921600
3500,5000,2000,20000,20000,2500,0,25000
178,176,178,0,0,160,0,0
178,176,178,0,0,160,0,0
0,120,0,60,120,0,60,60
500,0,550,0,0,450,0,200
3,3,3,2,3,2,2,3
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0
