HD Camcorder
Canon VIXIA HF R52,Sony HDR-PJ275,Panasonic HC-W850,Panasonic HC-X920,Sony HDR-CX240,JVC Everio GZ-EX310,JVC GZ-R70B,Canon VIXIA HF G20,Toshiba Camileo X416,Samsung F90
9.80,9.40,9.20,8.53,8.23,7.60,7.38,7.33,6.20,4.50
1080,1080,1080,1080,1080,1080,1080,1080,1080,720
60,60,60,60,60,60,60,30,30,30
32,27,20,12,27,40,40,10,23,52
1140,320,60,40,320,60,200,200,120,130
57,54,50,25,54,0,60,40,0,0
2.07,9.2,24,20.4,9.2,8.3,10,2.07,16,5
0.4,3,2,1.6,3,4,3,0.1,0,15
86.8,774.2,77.52,31.26,774.2,113.1,113.1,38.25,468.5,107.1
32,8,0,0,0,16,32,32,16,0
2,1,1,1,1,1,1,2,1,1
17,1.9,0,27.5,1.1,10.5,57.8,12.3,0.2,1.6
1.5,1,1.8,0,1.1,2,2.5,2.5,1.7,0
2.7,2.1,0.9,0,2.2,2,4.5,2.5,1.7,0
3.0,2.7,3.0,3.5,2.7,3.0,3.0,3.5,3.0,2.7
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,0
0,0,1,1,0,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,0,1,1,1,0,0,0,0
1,1,0,0,0,0,0,1,0,1
0,1,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1
1,1,0,0,1,1,0,1,0,1
0,1,1,1,1,0,0,0,1,1
