Table Saws
Ridgid R4513,DeWALT DWE7491RS,Bosch 4100-09,Bosch GTS1031,DeWALT DWE7480,Craftsman JT2503RC,DeWALT DW745,Makita 2705,PORTER-CABLE PCB220TS,Rockwell RK7241S
9.73,9.45,9.25,8.95,8.88,8.75,8.50,8.00,7.95,7.88
2,2,2,1,1,2,1,1,2,2
95,90,99,52,48,87,45,64,72.6,73.7
1,0.2,0.1666,0.04,0.05,0.2,0.04,0.048,1,0.333
0.023923445,0.0416666667,0.0465116279,0.0444444444,0.0373134328,0.0294117647,0.0377358491,0.0337837838,0.0384615385,0.0362318841
0.0330033003,0.0322580645,0.0253164557,0.0444444444,0.0377358491,0.0416666667,0.0387596899,0.0448430493,0.0512820513,0.0558659218
100,97,100,87,89,95,90,85,95,93
97,95,100,100,95,90,95,97,85,90
25,32.5,25,18,24,24.5,20,25,30,30
1,1,1,1,1,1,1,1,1,1
4000,4800,3650,5000,4800,4000,3850,4800,5000,4800
15,15,15,15,15,15,15,15,15,15
2.5,2.3,2.5,2.3,2.3,2.5,2.3,2.5,2.5,2.6
3.5,3.1,3.1,3.1,3.1,3.1,3.1,3.6,3.5,3.6
40,24,24,24,24,24,24,32,24,40
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
50,3,1,1,3,1,3,1,3,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0
