Teeth Whiteners
Hollywood Smiles,Cool Teeth Whitening,Pearl Gentle White,Rembrandt,Shine Whitening,Dr. Song,Pearl Brilliant White,Crest 3D White,Opalescence,Philips NiteWhite
9.60,8.78,7.78,6.98,6.88,6.20,5.90,5.20,4.88,4.45
20,20,20,20,20,10,10,10,10,10
0.1428571429,0.1428571429,1,1,0.0666666667,0.3333333333,0.2,0.0476190476,0.0714285714,0.0714285714
1,1,1,0,0,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,0,0,1
1,1,1,0,0,1,1,1,1,1
1,0,0,1,1,1,0,1,0,0
1,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1,0,0
1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,0
1,1,1,1,0,1,1,1,1,1
1,0,1,1,0,0,1,1,0,1
1,1,0,1,1,0,0,1,1,0
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
