Toaster Ovens
KitchenAid,DeLonghi,Frigidaire,Oster,Hamilton Beach,Black & Decker 6-Slice,Cuisinart,Kenmore Elite,Panasonic,Breville,Black & Decker 4-Slice
8.38,8.28,7.68,7.63,7.15,6.85,6.83,6.75,6.75,6.65,5.45
0.0066,0.00555,0.0066,0.0066,0.005,0.0066,0.0066,0.0066,0.004,0.008,0.0066
450,450,450,450,450,450,450,450,500,500,450
1800,1400,1500,1300,1400,1500,1800,1800,1300,1800,1150
0.0047619048,0.0048309179,0.0020408163,0.0037174721,0.0016666667,0.0041493776,0.003030303,0.0023809524,0.000617284,0.0030674847,0.0023809524
97,84,67,84,67,100,92,75,67,100,75
1,1,0,1,0,0,0,0,0,1,0
6,6,6,6,6,6,6,6,4,6,4
2,2,1,1,1,2,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,0
1,1,1,1,1,1,0,1,0,1,0
0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1
0.011627907,0.0102040816,0.0096153846,0.0056818182,0.005,0.0090909091,0.0052631579,0.0111111111,0.004,0.0106382979,0.0044444444
0.0136986301,0.0119047619,0.012987013,0.0107526882,0.0114942529,0.010989011,0.0117647059,0.0113636364,0.0093457944,0.0126582278,0.0086956522
1,1,1,1,1,2,2,2,1,1,2
92,93,96,82,91,85,75,79,73,100,55
60,120,45,90,120,60,0,120,25,120,30
9,8,10,7,6,6,4,6,6,9,4
1,1,1,0,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,1,0,1,0
1,1,0,1,1,1,1,0,0,1,1
