Toaster
KitchenAid Pro Line,Breville Smart Toaster,Dualit NewGen,KitchenAid One-Touch,Breville Lift and Look,Magimix Vision,Cuisinart Touch to Toast,Frigidaire Professional,Calphalon,Kenmore Elite,KRUPS KH,Waring Pro Cool-Touch,Hamilton Beach Digital,T-fal Deluxe,Black & Decker,West Bend
9.93,9.68,9.38,8.68,8.60,8.43,8.25,8.05,7.65,7.60,7.43,7.38,7.33,7.05,6.48,6.40
2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1
7,5,4,7,5,8,7,7,9,9,6,0,9,7,6,6
4,4,6,4,2,1,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,100,100,80,75,90,85,85,75,70,90,70,75,70,60,60
1800,1800,1800,1800,1800,1500,850,1400,1800,1550,1050,1800,1400,1200,1400,1500
0.0555555556,0.0833333333,0.1063829787,0.1,0.1298701299,0.119047619,0.1428571429,0.1666666667,0.1408450704,0.1886792453,0.1886792453,0.1,0.125,0.1111111111,0.1587301587,0.125
0.0727272727,0.085106383,0.1212121212,0.0769230769,0.1234567901,0.064516129,0.0877192982,0.1333333333,0.0833333333,0.0793650794,0.0740740741,0.085106383,0.0846740051,0.0769230769,0.0735294118,0.0769230769
0.0833333333,0.085106383,0.0714285714,0.0877192982,0.064516129,0.1142857143,0.1,0.0819672131,0.0833333333,0.081300813,0.0751879699,0.0816326531,0.0793650794,0.0714285714,0.0775193798,0.0833333333
0.125,0.1290322581,0.1212121212,0.1231527094,0.1219512195,0.1428571429,0.1290322581,0.0952380952,0.1136363636,0.1111111111,0.1162790698,0.1212121212,0.127064803,0.0833333333,0.1086956522,0.1111111111
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0
1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1
5,1,2,1,1,3,3,1,1,5,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
