Top-Load Washing Machine
LG Mega Capacity,Samsung,Whirlpool Cabrio HE,Maytag Bravos XL,GE,Kenmore,Hotpoint,Amana,Frigidaire
9.80,9.03,8.48,8.18,5.65,4.93,3.93,3.73,3.35
0.0336247478,0.0323310702,0.0265041081,0.031075202,0.0283205891,0.0224668614,0.0211237854,0.0165947561,0.0148765248
0.0625,0.0555555556,0.0416666667,0.0588235294,0.0454545455,0.0344827586,0.0384615385,0.0333333333,0.0217391304
0.0727802038,0.0773395205,0.0728332119,0.0658761528,0.0751314801,0.0644745326,0.0468603561,0.0330469266,0.0471253534
0.0074074074,0.0060606061,0.0051020408,0.0062893082,0.0048076923,0.0054054054,0.0046948357,0.0052631579,0.0023529412
1.456,1.547,1.457,1.317,1.502,1.289,0.937,0.660,0.942
0.0582411182,0.0482625483,0.0454545455,0.0548245614,0.0625,0.0402414487,0.0292397661,0.0206185567,0.0392156863
0.2915451895,0.2702702703,0.2409638554,0.2631578947,0.243902439,0.1408450704,0.1052631579,0.0721500722,0.1333333333
1,1,1,1,0,0,0,0,0
5,5.6,5.3,4.8,3.9,3.5,3.6,3.5,3.4
14,15,10,16,16,9,8,9,8
14,11,7,8,6,3,3,2,2
3,5,4,4,3,4,2,3,0
5,6,5,5,6,5,3,5,4
0,0,0,0,1,1,1,1,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,1,0,0
1,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,1,1,0,1,0,1,0
0,1,1,1,1,0,1,0,0
0,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,0,0,0
1,0,0,1,1,1,0,0,1
1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
10,10,1,10,1,1,1,1,1
50,3,1,10,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
