Tower Fan
Dyson AM07,Crane EE-5607,Vornado Tower 184,Honeywell Fresh Breeze HY-048BP,Honeywell QuietSet Whole Room HY-108,Brookstone Mighty Max,Lasko Whole Room C27100,Lasko Xtra Air T48310,Holmes HT38RB-U,Lasko Wind Curve 2554
9.40,9.00,8.80,8.70,8.68,8.65,8.58,8.48,8.33,8.33
10,3,4,3,8,3,3,3,3,3
90,180,360,90,90,90,90,90,90,90
4,0.5,1,1,1,1,1,1,1,1
9,8,8,12,8,8,7,7,8,7
3,1,1,1,2,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0
0.015625,0.0192307692,0.0181818182,0.0181818182,0,0.0147058824,0,0,0,0
1271.3,2500,0,0,0,1100,2421,867,0,634
6.6,3,6,6,6,6,6,6,5,6
56,40,72,40,40,42,0,0,0,0
1,1,1,1,1,1,1,1,1,1
2,1,5,1,1,1,1,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0
