Treadmill
ProForm Pro,NordicTrack Commercial,Sole F,Bladez T,LifeSpan TR,Spirit XT,Yowza Fitnes,Life Fitness F3,Vision Fitness TF,Horizon Fitness T
9.75,9.78,8.98,8.68,8.60,8.53,8.40,8.33,8.13,7.15
15,15,15,12,15,15,12,12,15,10
3,3,0,0,0,0,0,0,0,0
12,12,12,12,12,12,11,10,12,10
22,22,22,20,20,20,20,20,20,20
60,60,60,60,60,60,60,55,60,55
4.0,3.8,3.5,3.5,3.25,3.5,3.5,3.0,3.0,2.25
350,300,375,350,350,425,350,350,400,300
34,38,10,16,21,12,15,14,5,30
50,50,1,1,1,2,9,2,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0.5,0.5,1,1,1,1,0.5,0
1,1,1,1,1,0,1,1,1,0
1,1,1,1,0,0,1,1,0,1
2,3,2,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0.5,0.5,1
1,1,1,1,1,1,0,1,0,1
1,1,0,0,0,0,0,0,0.5,0
1,1,0,0,0,0,0,0.5,0.5,0
1,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,10,50,50
5,5,5,3,5,10,5,5,7,2
5,5,5,3,5,10,5,5,7,2
2,2,2,1,1,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,1,1
1,1,0,0,1,0,1,0,0,0
