Turkey Fryers
Waring Pro,Brinkmann,Eastman Outdoors,Masterbuilt Butterball Digital XXL,Bayou Classic,King Kooker,Cabela's,Cajun Injector,Masterbuilt Butterball,Kamp Kitchen
9.45,9.00,8.85,8.78,8.70,8.65,8.63,8.40,8.15,6.83
90,95,100,85,100,90,85,85,75,90
10,30,30,11,32,30,29,30,8,30
18,18,20,22,18,20,20,14,14,20
2,1,1,2,1,1,1,2,2,1
1,0.5,0.5,1,0.5,0.5,0.5,1,1,0.5
0.4,0.2666666667,0.2666666667,0.3636363636,0.3333333333,0.2666666667,0.2857142857,0.6666666667,0.5,0.2666666667
6142,45000,65000,5630,55000,38000,34000,5630,5630,38000
100,100,95,95,90,95,90,95,95,40
1,1,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
0,1,1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,1,1,0
1,0,0,1,0,0,0,0,1,0
5,0.25,1,0.25,1,1,1,1,0.25,1
1,1,0,0,1,1,0,0,1,0
1,1,0,1,0,0,1,0,1,0
1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1
