Upright Freezer
Kenmore 22042,Frigidaire FFFH17F2QW,Maytag MZF34X16DW,Whirlpool WZF56R16DW,Amana AZF33X16DW,Whirlpool WZF34X16DW,Kenmore 22442,GE FUF14DHRWW,Frigidaire FFFU14F2QW,Frigidaire FFFU13M1QW
9.50,8.78,8.60,8.50,8.13,8.08,7.88,7.75,7.50,7.33
0.0172413793,0.0192307692,0.0178571429,0.0178571429,0.0178571429,0.0178571429,0.0192307692,0.0192307692,0.0192307692,0.0263157895
0.3448275862,0.3194888179,0.2808988764,0.2857142857,0.2801120448,0.2801120448,0.269541779,0.2652519894,0.2652519894,0.3367003367
1,1,0,0,0,0,0,0,0,0
20,16.6,15.7,16,15.7,15.7,14,13.8,13.8,12.8
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,0,0,0,0
6,5,5,5,5,5,5,5,5,5
4,4,3,3,3,3,3,3,3,3
1,0,0,0,0,0,1,1,0,0
1,0,1,1,1,1,1,1,0,0
