Pocket CamCorder
Polaroid iD820,GE DV1,HTC RE,Coleman CVW9HD,Vivitar DVR 925HD,Vivitar DVR 426HD,Bell & Howell Take 1 HD,Vivitar DVR 410
9.13,9.08,8.38,8.00,7.20,7.13,6.68,6.63
1080,1080,1080,1080,720,720,720,480
1080,1080,1080,1080,480,720,480,480
120,60,96,30,30,30,30,30
60,60,96,30,25,30,15,30
120,4,0,3,4,4,4,4
16,5,16,8,8,3,5,8
1,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0
3,2.5,0,2,2.4,1.8,1.8,1.8
2,2,2,1,1,1,1,1
0.45454545454545453,0.24390243902439027,0.25641025641025644,0.20833333333333334,0.10526315789473684,0.11363636363636363,0.2,0.1
0.2222222222222222,0.45454545454545453,1.0,0.4,0.14705882352941177,0.14285714285714285,0.3333333333333333,0.125
1.25,1.25,1.0,1.1111111111111112,0.2857142857142857,0.5714285714285714,1.0,0.5555555555555556
0.3333333333333333,0.19607843137254904,0.4166666666666667,0.0625,0.1111111111111111,0.11627906976744186,0.0684931506849315,0.29411764705882354
1,1,0,1,1,1,1,1
1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0
32,32,128,16,32,16,16,16
1,1,1,1,1,1,1,1
1,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
