Upright Vacuum Cleaner
Miele Dynamic,Dyson Cinetic Big Ball Animal,Kenmore Intuition,Eureka Brushroll,Panasonic JetSpin,Hoover Air Cordles,Shark Navigator,Eureka AirSpeed,Hoover WindTunnel,Samsung,BISSELL Rewind,Dirt Devil,BISSELL PowerGlide,Oreck XL Classic
8.68,8.48,8.00,7.80,7.75,7.60,7.48,7.45,7.38,7.15,7.08,6.13,6.03,3.83
0.02002002,0,0.04,0.0263435195,0.0667111408,0.0980392157,0,0.0263435195,0.0351370344,0.0238208671,0.0212947189,0.0322580645,0.0500500501,0
0.0263852243,0,0.0238208671,0,0,0,0,0,0,0,0,0,0,0.0190512479
0.0113830393,0,0.0149298298,0.0263435195,0.0667111408,0.0980392157,0,0.0263435195,0.0351370344,0.0238208671,0.0212947189,0.0322580645,0.0500500501,0.0190512479
89,100,100,99,95,93,87,90,95,58,93,87,91,99
12,11,12,12,12,10,10,12,12,9,12,12,8,4
1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,0,1,1,0,0,1,1,0,1,0,0,1,0
1,1,1,1,1,1,0,1,1,0,1,1,1,1
90,100,70,60,80,100,60,40,80,70,80,60,80,50
70,80,80,70,70,100,60,90,80,90,100,80,70,90
0.046728972,0.0520833333,0.0526315789,0.0632911392,0.05,0.101010101,0.0714285714,0.064516129,0.0606060606,0.0757575758,0.0571428571,0.0657894737,0.0613496933,0.1111111111
39,35,30,27,35,0,30,27,25,30,25,25,27,25
12,15,10,12,14,6,6,12,8,6.6,8,6,10,0
0.0135135135,0.0126582278,0.0133333333,0.0121212121,0.0131578947,0.0113636364,0.0131578947,0.0120481928,0.0128205128,0.0130718954,0.0121065375,0.0125,0.0125,0.0113636364
12,13.4,14.5,13,14,11,9.5,13,13.5,12.7,15,12.5,12.5,12.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,0,0,0,1,1,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,1,0,1,0,0,0
0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0
7,5,1,3,1,5,5,3,2,5,3,3,5,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,1,0,1,0,1,1,1,1,0,1,1
