Robot Vacuum
Neato Botvac Connected,iRobot Roomba 980,Samsung POWERbot,bObsweep bObi,iRobot Roomba 650,Miele Scout,Neato XV,Moneual RYDIS,Infinuvo CleanMate
9.80,9.40,8.43,8.38,8.08,7.93,7.83,7.10,5.90
0.05,0.02,0,0.0208333333,0.037037037,0.04,0.05,0.01,0.04
0.02,0,0,0.0166666667,0.0142857143,0.0079365079,0.0204081633,0.01,0.02
0.0142857143,0,0,0.0092592593,0.0103092784,0.0066225166,0.0144927536,0.005,0.0133333333
100,95,90,85,90,85,85,50,95
95,95,100,95,100,90,70,100,20
90,80,100,90,90,95,60,80,75
120,120,60,120,60,120,60,120,80
0.0055555556,0.0055555556,0.0066666667,0.0083333333,0.0055555556,0.0083333333,0.0055555556,0.0083333333,0.0066666667
1,0.625,0.59,0,0.55,0.75,1,0.4,0.5
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0
0,0,0,1,0,0,0,1,0
85,90,70,100,90,100,95,90,20
0.1666666667,0.25,0.25,0.2,0.2,0.1428571429,0.1666666667,0.1666666667,0.1
0.1111111111,0.0775193798,0.0952380952,0.15625,0.1265822785,0.0819672131,0.1162790698,0.1694915254,0.1512859304
0.0130208333,0.0128369705,0.0147058824,0.0166666667,0.0153846154,0.0178571429,0.0147058824,0.0163934426,0.0153846154
1,1,0,0,0,0,1,0,1
1,1,0,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1
1,0,0,0,0,1,1,0,0
0,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,5,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,1
