Waffle Maker
All-Clad,Chef's Choice,Waring Pro,Black & Decker,Hamilton Beach,Cuisinart,Proctor Silex,Oster,Presto
9.25,8.58,7.90,7.00,6.85,6.83,6.58,6.48,5.60
97,89,83,77,72,59,63,73,71
1,1,1,1,1,1,0,1,0
1,1,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
100,95,100,100,100,100,90,100,90
90,65,100,95,65,95,95,50,25
6.5,6.5,7,9,7.5,7,7,7,7
1,1,2,1,1,1,1,1,1
8,8,5,5,5,8,0.4,5,0.4
0.0333333333,0.2,0.2,0.0076923077,0.0126582278,0.1,0.2,0.2,0.2
0.0026595745,0.0044052863,0.0028653295,0.0020576132,0.0031152648,0.0063291139,0.0045045045,0.0049019608,0.0051020408
0.0047393365,0.0039840637,0.0030674847,0.0020746888,0.0052910053,0.0035587189,0.0034602076,0.0018621974,0.0034246575
1,1,0,1,0,0,0,1,1
0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0
3,3,1,2,1,3,3,1,2
1,1,1,0,1,1,1,1,1
1,1,1,0,1,1,1,0,1
1,1,1,0,0,0,0,0,0
0.085106383,0.1052631579,0.064516129,0.0869565217,0.0714285714,0.1081081081,0.1052631579,0.0769230769,0.0888888889
0.1176470588,0.1081081081,0.1111111111,0.0833333333,0.1025641026,0.1333333333,0.1290322581,0.1,0.1
0.2222222222,0.2857142857,0.1176470588,0.2,0.125,0.3333333333,0.2222222222,0.1176470588,0.2352941176
2,1,1,1,1,3,1,1,1
1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,1
