Wall Air Conditioners
Frigidaire FFTA1233Q1,Frigidaire FFTA1233S1,Comfort-Aire BG-81,Impecca IMPITAH14KR,Kenmore 76135,Friedrich,GE AJCQ12ACF,GE AJCQ10ACF,LG LT1235CER,LG LT123CNR
9.50,9.43,8.23,7.95,7.88,7.73,7.55,7.53,6.93,6.85
0.009113278,0.0101522843,0.0144675926,0.0070145903,0.009113278,0.0098921753,0.009486766,0.0109194147,0.0098921753,0.0088354833
12000,12000,8000,14000,12000,11500,12000,10400,11500,11500
9.8,10.5,10.6,8.5,9.8,9.8,9.8,9.8,9.8,8.8
305,286,270,0,305,290,290,290,290,290
3.3,3.3,2.1,2.9,0,3.8,3.4,2.7,3.8,3.8
1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,0,0
1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.0138888889,0.0131578947,0.0144927536,0.0135135135,0.012345679,0.0128205128,0.012987013,0.0135135135,0.0125,0.0125
0.069,0.069,0.069,0.069,0.069,0.071,0.064,0.064,0.0694,0.057
0.0487,0.0487,0.0492,0.0493,0.0487,0.054,0.458,0.0458,0.0497,0.0446
0.0416,0.0416,0.0412,0.0413,0.0416,0.0416,0.0384,0.0384,0.0416,0.036
1,1,1,2,1,1,1,1,1,1
5,5,5,2,5,5,5,5,1,1
1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,1
