Washer Dryer Combo
LG,LG All-in-One,Ariston Elegance Line,Ariston,Midea,Summit,Splendide,Equator
9.93,8.93,8.48,8.30,7.75,7.68,6.75,6.05
4.2,2.3,1.82,1.82,2,2,2,1.6
90,80,70,70,70,70,70,60
5,1,5,5,1,1,1,1
5,5,5,5,4,4,4,3
0.0769230769,0.0833333333,0.0833333333,0,0.0588235294,0,0,0.0833333333
1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,0,1,1,0,0,0,0
1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,0
1,1,1,1,0,0,1,0
1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1
1,1,1,1,0,1,1,0
1,1,0,0,1,0,1,0
1,0,1,1,1,0,0,0
1,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1
10,10,1,1,5,1,1,1
50,50,1,1,5,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
