Water Filter Systems
Aquasana 3-Stage Under Counter,WaterChef U9000,Apec Water ROES-50,Kenmore Reverse Osmosis System,Pelican Pro 6-Stage RO,Multipure AquaRO,EcoWater ERO 375,GE Reverse Osmosis Filtration System,Aqua-Pure AP-RO5500,Kinetico AquaKinetic
9.33,8.90,8.83,8.78,8.75,8.70,8.33,8.15,7.90,7.65
66,50,40,25,50,82,24,16,13,14
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0
1,0,1,0,1,1,0,0,0,0
1,1,1,0,1,1,0,0,0,0
80,125,90,100,80,100,100,125,125,100
0.5,0.65,0,0.5,0.5,0.5,0,1,0.6,0
3,1,5,0,6,5,3,0,4,3
6,12,6,6,6,6,6,6,12,12
600,1000,1000,900,0,750,0,900,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,0,0
3,4,1,1,3,1,5,1,1,1
0.0833333333,0.1666666667,0.0625,0.0666666667,0.0833333333,0.0634920635,0.08,0.0714285714,0.0666666667,0.0666666667
0.2352941176,0.125,0.1904761905,0.0625,0.2105263158,0.1904761905,0.2352941176,0.1818181818,0.1666666667,0.2
0.1111111111,0.1111111111,0.0571428571,0.0666666667,0.0689655172,0.0701754386,0.0588235294,0.0666666667,0.0666666667,0.0476190476
0.2941176471,0.1052631579,0.0384615385,0.0740740741,0.125,0.0285714286,0.0454545455,0.0476190476,0.0526315789,0.25
1,50,1,1,1,1,5,1,1,7
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,0
