Weed Whacker
Hitachi,Poulan Pro Gas Trimmer,Toro Gas Trimmer,Ryobi Gas Trimmer,Snapper Gas Trimmer,Bolens Gas Trimmer,Homelite Gas Trimmer,Weed Eater Gas Trimmer,Troy-Bilt Gas Trimmer,Craftsman Gas Trimmer
9.43,9.38,9.35,9.28,9.20,9.03,8.73,8.18,8.15,7.98
95,85,80,90,85,95,100,100,80,100
90,95,95,85,70,90,75,70,80,100
96,96,100,96,85,96,43,43,74,64
100,100,100,85,80,90,75,60,90,65
92,85,99,99,98,99,98,100,99,75
0.0909090909,0.0833333333,0.08,0.0869565217,0.0819672131,0.0909090909,0.0952380952,0.0961538462,0.0806451613,0.0952380952
60,40,44,41,40,21,55,39,41,52
15,17,18,17,18,17,17,15,17,16
0.01,0.0095238095,0.0103092784,0.0103305785,0.0102986612,0.0103305785,0.0102774923,0.010384216,0.0103092784,0.0092592593
14.5,0,18,0,12,10,12.8,0,10,9.92
21.1,25,25.4,28,25,25,26,25,25,25
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,1,1
0,1,0,1,0,0,0,0,0,0
2,1,1,1,1,1,1,0,1,1
13,25,25,25,20,8,20,25,12,0
0.095,0.095,0.095,0.095,0.095,0.095,0.08,0.095,0.095,0.11
1,1,1,1,1,1,1,1,1,1
7,2,3,2,3,2,2,2,2,2
50,2,3,2,3,2,2,2,2,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,1
