Window Air Conditioners
Haier ESAQ406P,Frigidaire FFRE0633Q1,Danby DAC060EUB5GDB,LG LW8015ER,Frigidaire FFRA0622S1,GE AED08LV,SPT WA-6022S,Friedrich Residential Chill,Keystone KSTAW05B,Frigidaire FFRA0611Q1
9.60,9.08,9.03,8.70,8.40,8.33,8.13,7.83,6.78,6.28
6050,6000,6000,8000,6000,8200,6000,6000,5000,6000
0.0214316331,0.0215936083,0.0236183278,0.0165343915,0.0214316331,0.0172741406,0.021602938,0.021602938,0.0259538022,0.0186985789
0.0747663551,0.0714285714,0.0714285714,0.0769230769,0.0714285714,0.064516129,0.0714285714,0.0707964602,0.0769230769,0.0714285714
11.2,11.2,12.1,11.3,11.1,12.2,11.2,11.2,11.2,9.7
200,152,143.3,250,101,230,153,200,129,176
1.5,1.3,0,2.2,1.3,1.9,0.7,1.8,1.3,1.3
1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,1,1,0
1,1,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,0
0,1,0,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
0.023255814,0.0183486239,0.0192678227,0.0185185185,0.0196078431,0.02,0.0188679245,0,0.0181818182,0.0192307692
0.0179856115,0.0227272727,0.0186671645,0.0175438596,0.0227272727,0.0163934426,0.0222222222,0.0142857143,0.025,0.02
0.0803858521,0.0746268657,0.074682599,0.0808080808,0.0677966102,0.0686695279,0.0746268657,0.0714285714,0.0833333333,0.0744186047
0.0470588235,0.0540540541,0.0540540541,0.0511182109,0.0457142857,0.052545156,0.0533333333,0.0537634409,0.0625,0.0540540541
0.1111111111,0.064516129,0.0634920635,0.0516129032,0.0551724138,0.0470588235,0.0634920635,0.0478723404,0.0634920635,0.064516129
1,1,1,1,1,1,1,1,1,1
1,5,1,1,5,1,1,5,5,5
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,1,0,1
1,1,1,1,1,1,0,0,0,1
