Wine Cooler
EdgeStar,Avanti,NewAir AW-321ED,NewAir AW-210ED,NewAir AWC-330E,Sunpentown,Vinotemp,Kalorik,Haier,Frigidaire,Whynter,Wine Enthusiast,Danby,Cuisinart
10.00,9.95,9.33,8.95,8.70,8.63,8.50,8.45,8.38,8.20,8.20,8.08,8.00,7.75
64,65,66,66,64,66,64,64.5,65,64,66,66,57.2,68
0.0243902439,0.025,0.0217391304,0.0227272727,0.0256410256,0.0185185185,0.0222222222,0.0224719101,0.025,0.0243902439,0.0227272727,0.0217391304,0.023364486,0.0256410256
1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,1,0,0,1,1
1,1,1,1,0,0,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,0,1
1,1,0,0,1,0,0,0,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,1,0,0,1,0
0,0,1,1,0,1,1,1,0,0,1,1,1,1
34,46,32,21,33,20,21,18,26,35,21,18,35,32
1,1,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,1,0,0,1,0
1,1,0,0,1,0,0,0,1,1,0,0,0,0
1,1,1,0,1,0,1,0,1,1,0,1,1,0
2,2,2,1,2,1,2,2,2,1,2,1,2,1
0.0303030303,0.0294117647,0.03125,0.03125,0.0294117647,0.0454545455,0.0294117647,0.037037037,0.0294117647,0.0294117647,0.0303030303,0.0384615385,0.0303030303,0.0322580645
0.0106382979,0.0084745763,0.0144927536,0.0185185185,0.0175438596,0.0333333333,0.025,0.0263157895,0.0105263158,0.0126582278,0.0217391304,0.0277777778,0.0133333333,0.0208333333
0.0434782609,0.04,0.0454545455,0.05,0.05,0.05,0.0416666667,0.0526315789,0.0666666667,0.05,0.0476190476,0.0714285714,0.05,0.0625
0.0526315789,0.0416666667,0.0476190476,0.0588235294,0.0526315789,0.0625,0.0833333333,0.0714285714,0.0454545455,0.05,0.0769230769,0.05,0.0555555556,0.0476190476
1,1,1,1,1,1,0.25,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,0,0,1,0.5
