Serger Sewing Machine
Singer 14T968DC,Brother 1034D,Brother Designio,Singer Stylist II 14J250,Janome Magnolia 7034D,Juki MO644D,Reliable Dreamstitcher 787,American Home,Janome 8002D,Consew 14TU854
9.10,7.75,7.58,7.55,7.48,7.40,6.63,6.60,6.23,5.68
14,22,22,6,8,7,4,9,6,6
1300,1300,1300,1300,1300,1500,1300,1100,1300,1200
4,4,4,5,4,4,5,4,4,4
0.3,0.35,0.35,0.35,0.227,0.35,0.35,0.35,0.222,0.35
0,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
100,60,60,100,100,60,60,60,60,60
0.0505050505,0.0666666667,0.0555555556,0.0526315789,0.0540540541,0.0666666667,0.05,0.0526315789,0.0746268657,0.0680272109
1,0,0,1,1,0,0,0,0,0
1,1,1,0,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1,0,0
0,0,0,1,1,1,1,0,1,0
6,2,3,1,1,1,1,3,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,1,1,1,0,1
1,1,0,1,0,1,1,1,0,1
1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
25,25,25,25,25,5,1,25,25,0.25
1,1,1,1,1,1,1,0,1,0
1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0
