Gaming Laptop
Gigabyte,ASUS,Velocity Micro,Maingear,Alienware,AORUS,MSI GE,MSI GS60 Ghost,MSI GT,Acer,HP
8.55,7.70,7.65,7.58,7.03,6.70,6.65,6.43,6.30,6.28,5.10
8268,8367,6642,6562,8234,6391,6530,6588,6438,4014,4000
116,92,73,72,70,72,72,72,63,45,45
13026,12582,13355,12885,12965,12863,12971,12865,12962,13145,13000
2,1,4,1,1,0,1,1,1,2,0
0.5,0.25,2,0.5,0.5,0.5,0.5,0.5,1,0.25,0.5
8,32,32,16,16,8,16,16,32,16,16
4665600.0,2073600.0,2073600.0,8294400.0,2073600.0,5760000.0,2073600.0,4665600.0,2073600.0,8294400.0,2073600.0
338,304,322,220,253,203,317,224,240,270,288
15,17,17,17,17,13,15,15,17,17,15
349.0,216.0,174.0,219.0,385.0,338.0,144.0,126.0,174.0,122.0,134.0
132.11839999999998,348.49999999999994,222.384,121.275,272.09,121.68000000000002,199.65,158.48250000000002,372.4759999999999,145.2582,114.2466
0.17857142857142858,0.11904761904761904,0.14705882352941177,0.25,0.12048192771084336,0.25,0.18867924528301888,0.22727272727272727,0.11904761904761904,0.18867924528301888,0.2127659574468085
2,0,0,0,0,0,1,0,0,0,0
2,4,4,4,4,3,3,3,6,3,4
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,0,0,0,0,1,1
