Sewing Machine
Singer 9960,Brother PC420PRW,Brother CS6000i,Janome 8077,Singer 7258,Brother CE7070PRW,Husqvarna Viking,Toyota STF39,bernette Seville,Juki HZL-27Z
10.00,9.80,9.75,9.68,9.63,9.53,9.00,8.78,8.60,8.48
600,294,60,30,100,70,32,20,8,22
850,850,850,820,750,850,600,800,750,550
7,7,7,7,6,7,5,5,5,6.5
0,5,5,5,0,5,4,5,4.5,4
13,10,7,6,6,7,1,1,1,1
1,1,1,1,1,1,1,1,0.25,0.25
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0
6.5,7.4,5.75,6.5,0,5.75,6,7.25,5.5,0
0.05,0.0588235294,0.0769230769,0.0549450549,0.0684931507,0.0729927007,0.0649350649,0.0555555556,0.0757575758,0.0769230769
0.0833333333,0.0577367206,0.0621118012,0.0588235294,0.0833333333,0.061500615,0.0547945205,0.0555555556,0.0668449198,0.071942446
0.1219512195,0.127064803,0.1492537313,0.1333333333,0.1333333333,0.1426533524,0.0975609756,0.1111111111,0.1589825119,0.1639344262
0.0581395349,0.0909090909,0.0877192982,0.0833333333,0.0689655172,0.0862068966,0.0714285714,0.0714285714,0.0920810313,0.1
19,13,7,4,10,7,7,3,4,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1
1,0,0,0,1,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0
25,25,25,25,25,25,10,5,5,5
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0
